datetime,e20-601b-2,e20-604b-1,e22-508-1,e22-511-2
2017-03-21 00:00:00,422.0,358.0,364.8,400.96
2017-03-21 00:01:00,422.0,354.0,364.8,400.96
2017-03-21 00:02:00,422.0,354.0,364.8,400.96
2017-03-21 00:03:00,422.0,354.0,364.8,400.96
2017-03-21 00:04:00,422.0,354.0,365.76,400.96
2017-03-21 00:05:00,412.0,354.0,365.76,400.96
2017-03-21 00:06:00,412.0,360.0,365.76,408.0
2017-03-21 00:07:00,412.0,360.0,365.76,408.0
2017-03-21 00:08:00,412.0,360.0,365.76,408.0
2017-03-21 00:09:00,412.0,360.0,360.0,408.0
2017-03-21 00:10:00,422.0,360.0,360.0,408.0
2017-03-21 00:11:00,422.0,362.0,360.0,404.8
2017-03-21 00:12:00,422.0,362.0,360.0,404.8
2017-03-21 00:13:00,422.0,362.0,360.0,404.8
2017-03-21 00:14:00,422.0,362.0,358.72,404.8
2017-03-21 00:15:00,430.0,362.0,358.72,404.8
2017-03-21 00:16:00,430.0,356.0,358.72,401.92
2017-03-21 00:17:00,430.0,356.0,358.72,401.92
2017-03-21 00:18:00,430.0,356.0,358.72,401.92
2017-03-21 00:19:00,430.0,356.0,363.84,401.92
2017-03-21 00:20:00,427.0,356.0,363.84,396.8
2017-03-21 00:21:00,427.0,352.0,363.84,396.8
2017-03-21 00:22:00,427.0,352.0,363.84,396.8
2017-03-21 00:23:00,427.0,352.0,363.84,396.8
2017-03-21 00:24:00,427.0,352.0,364.8,396.8
2017-03-21 00:25:00,418.0,352.0,364.8,402.88
2017-03-21 00:26:00,418.0,355.0,364.8,402.88
2017-03-21 00:27:00,418.0,355.0,364.8,402.88
2017-03-21 00:28:00,418.0,355.0,364.8,402.88
2017-03-21 00:29:00,418.0,355.0,364.8,402.88
2017-03-21 00:30:00,426.0,355.0,362.88,402.88
2017-03-21 00:31:00,426.0,363.0,362.88,396.8
2017-03-21 00:32:00,426.0,363.0,362.88,396.8
2017-03-21 00:33:00,426.0,363.0,362.88,396.8
2017-03-21 00:34:00,426.0,363.0,362.88,396.8
2017-03-21 00:35:00,416.0,363.0,362.88,396.8
2017-03-21 00:36:00,416.0,356.0,363.84,403.84
2017-03-21 00:37:00,416.0,356.0,363.84,403.84
2017-03-21 00:38:00,416.0,356.0,363.84,403.84
2017-03-21 00:39:00,416.0,356.0,360.96,403.84
2017-03-21 00:40:00,422.0,356.0,360.96,403.84
2017-03-21 00:41:00,422.0,361.0,360.96,397.76
2017-03-21 00:42:00,422.0,361.0,360.96,397.76
2017-03-21 00:43:00,422.0,361.0,360.96,397.76
2017-03-21 00:44:00,422.0,361.0,360.96,397.76
2017-03-21 00:45:00,416.0,361.0,360.96,397.76
2017-03-21 00:46:00,416.0,360.0,360.96,401.92
2017-03-21 00:47:00,416.0,360.0,360.96,401.92
2017-03-21 00:48:00,416.0,360.0,361.92,401.92
2017-03-21 00:49:00,416.0,360.0,353.92,401.92
2017-03-21 00:50:00,416.0,360.0,353.92,401.92
2017-03-21 00:51:00,416.0,353.0,353.92,400.96
2017-03-21 00:52:00,416.0,353.0,353.92,400.96
2017-03-21 00:53:00,416.0,353.0,353.92,400.96
2017-03-21 00:54:00,416.0,353.0,349.76,400.96
2017-03-21 00:55:00,421.0,353.0,349.76,400.96
2017-03-21 00:56:00,421.0,360.0,349.76,401.92
2017-03-21 00:57:00,421.0,360.0,349.76,401.92
2017-03-21 00:58:00,421.0,360.0,349.76,401.92
2017-03-21 00:59:00,421.0,360.0,347.84,401.92
2017-03-21 01:00:00,417.0,360.0,347.84,401.92
2017-03-21 01:01:00,417.0,360.0,347.84,409.92
2017-03-21 01:02:00,417.0,360.0,347.84,409.92
2017-03-21 01:03:00,417.0,360.0,347.84,409.92
2017-03-21 01:04:00,417.0,360.0,364.8,409.92
2017-03-21 01:05:00,416.0,360.0,364.8,409.92
2017-03-21 01:06:00,416.0,358.0,364.8,396.8
2017-03-21 01:07:00,416.0,358.0,364.8,396.8
2017-03-21 01:08:00,416.0,358.0,364.8,396.8
2017-03-21 01:09:00,416.0,358.0,352.96,396.8
2017-03-21 01:10:00,418.0,358.0,352.96,396.8
2017-03-21 01:11:00,418.0,352.0,352.96,397.76
2017-03-21 01:12:00,418.0,352.0,352.96,397.76
2017-03-21 01:13:00,418.0,352.0,352.96,397.76
2017-03-21 01:14:00,418.0,352.0,348.8,397.76
2017-03-21 01:15:00,422.0,352.0,348.8,397.76
2017-03-21 01:16:00,422.0,350.0,348.8,397.76
2017-03-21 01:17:00,422.0,350.0,348.8,397.76
2017-03-21 01:18:00,422.0,350.0,348.8,397.76
2017-03-21 01:19:00,422.0,350.0,348.8,397.76
2017-03-21 01:20:00,422.0,350.0,348.8,397.76
2017-03-21 01:21:00,422.0,350.0,348.8,390.72
2017-03-21 01:22:00,422.0,350.0,348.8,390.72
2017-03-21 01:23:00,422.0,350.0,348.8,390.72
2017-03-21 01:24:00,422.0,350.0,358.72,390.72
2017-03-21 01:25:00,424.0,350.0,358.72,390.72
2017-03-21 01:26:00,424.0,355.0,358.72,400.96
2017-03-21 01:27:00,424.0,355.0,358.72,400.96
2017-03-21 01:28:00,424.0,355.0,358.72,400.96
2017-03-21 01:29:00,424.0,355.0,349.76,400.96
2017-03-21 01:30:00,418.0,355.0,349.76,400.96
2017-03-21 01:31:00,418.0,352.0,349.76,393.92
2017-03-21 01:32:00,418.0,352.0,349.76,393.92
2017-03-21 01:33:00,418.0,352.0,349.76,393.92
2017-03-21 01:34:00,418.0,352.0,341.76,393.92
2017-03-21 01:35:00,419.0,352.0,341.76,393.92
2017-03-21 01:36:00,419.0,346.0,341.76,404.8
2017-03-21 01:37:00,419.0,346.0,341.76,404.8
2017-03-21 01:38:00,419.0,346.0,341.76,404.8
2017-03-21 01:39:00,419.0,346.0,352.96,404.8
2017-03-21 01:40:00,418.0,346.0,352.96,404.8
2017-03-21 01:41:00,418.0,346.0,352.96,400.96
2017-03-21 01:42:00,418.0,346.0,352.96,400.96
2017-03-21 01:43:00,418.0,346.0,352.96,400.96
2017-03-21 01:44:00,418.0,346.0,352.96,400.96
2017-03-21 01:45:00,416.0,346.0,352.96,400.96
2017-03-21 01:46:00,416.0,346.0,352.96,400.0
2017-03-21 01:47:00,416.0,346.0,352.96,400.0
2017-03-21 01:48:00,416.0,346.0,352.96,400.0
2017-03-21 01:49:00,416.0,346.0,344.96,400.0
2017-03-21 01:50:00,413.0,346.0,344.96,400.0
2017-03-21 01:51:00,413.0,353.0,344.96,400.0
2017-03-21 01:52:00,413.0,353.0,344.96,400.0
2017-03-21 01:53:00,413.0,353.0,344.96,400.0
2017-03-21 01:54:00,413.0,353.0,347.84,400.0
2017-03-21 01:55:00,424.0,353.0,347.84,400.0
2017-03-21 01:56:00,424.0,355.0,347.84,397.76
2017-03-21 01:57:00,424.0,355.0,347.84,397.76
2017-03-21 01:58:00,424.0,355.0,347.84,397.76
2017-03-21 01:59:00,424.0,355.0,339.84,397.76
2017-03-21 02:00:00,417.0,355.0,339.84,397.76
2017-03-21 02:01:00,417.0,355.0,339.84,395.84
2017-03-21 02:02:00,417.0,355.0,339.84,395.84
2017-03-21 02:03:00,417.0,355.0,339.84,395.84
2017-03-21 02:04:00,417.0,355.0,342.72,395.84
2017-03-21 02:05:00,421.0,355.0,342.72,395.84
2017-03-21 02:06:00,421.0,350.0,342.72,400.0
2017-03-21 02:07:00,421.0,350.0,342.72,400.0
2017-03-21 02:08:00,421.0,350.0,342.72,400.0
2017-03-21 02:09:00,421.0,350.0,344.0,400.0
2017-03-21 02:10:00,421.0,350.0,344.0,400.0
2017-03-21 02:11:00,421.0,352.0,344.0,394.88
2017-03-21 02:12:00,421.0,352.0,344.0,394.88
2017-03-21 02:13:00,421.0,352.0,344.0,394.88
2017-03-21 02:14:00,421.0,352.0,339.84,394.88
2017-03-21 02:15:00,424.0,352.0,339.84,394.88
2017-03-21 02:16:00,424.0,348.0,339.84,396.8
2017-03-21 02:17:00,424.0,348.0,339.84,396.8
2017-03-21 02:18:00,424.0,348.0,339.84,396.8
2017-03-21 02:19:00,424.0,348.0,342.72,396.8
2017-03-21 02:20:00,424.0,348.0,342.72,396.8
2017-03-21 02:21:00,424.0,339.0,342.72,396.8
2017-03-21 02:22:00,424.0,339.0,342.72,396.8
2017-03-21 02:23:00,424.0,339.0,342.72,396.8
2017-03-21 02:24:00,424.0,339.0,336.96,396.8
2017-03-21 02:25:00,416.0,339.0,336.96,396.8
2017-03-21 02:26:00,416.0,346.0,336.96,395.84
2017-03-21 02:27:00,416.0,346.0,336.96,395.84
2017-03-21 02:28:00,416.0,346.0,336.96,395.84
2017-03-21 02:29:00,416.0,346.0,342.72,395.84
2017-03-21 02:30:00,416.0,346.0,342.72,395.84
2017-03-21 02:31:00,414.0,349.0,342.72,400.0
2017-03-21 02:32:00,414.0,349.0,342.72,400.0
2017-03-21 02:33:00,414.0,349.0,342.72,400.0
