Room name,Floor,Description,,Neighbor(break by connectivity),,,,,,,,,,,,,,
Outside,Outside,Outside,,,,,,,,,,,,,,,,
1-1-100,1,Entrance,,Outside,1-1-101,1-1-112,,1-1-118,1-1-111,,,,,,,,,
1-1-101,1,Open Area,,1-1-100,1-1-102,1-1-103,1-1-111,1EV1,,1-1-108,1-1-160,1-1-162,1ST2,1-1-105,,,,
1-1-102,1,Entrance,,Outside,1-1-101,,1-1-160,1-1-103,,,,,,,,,,
1-1-103,1,Open Area,,Outside,1-1-104,1-1-101,1-1-105,,1-1-102,,,,,,,,,
1-1-104,1,Meeting Room,,Outside,1-1-103,1-1-105,,1-1-106,,,,,,,,,,
1-1-105,1,Corridor,,1-1-108,1-1-106,1-1-104,1-1-103,,1-1-101,,,,,,,,,
1-1-106,1,Meeting Room,,Outside,1-1-108,1-1-105,,1-1-104,,,,,,,,,,
1-1-108,1,Meeting Room,,Outside,1-1-106,1-1-105,,1-1-101,,,,,,,,,,
1-1-111,1,Washroom,,1-1-101,,1-1-100,1-1-112,1ST2,,,,,,,,,,
1-1-112,1,Corridor,,1-1-100,1ST2,1-1-114,,1-1-111,1-1-118,1-1-116,,,,,,,,
1-1-114,1,Corridor,,1-1-112,1-1-120,1-1-121,1-1-122,1-1-178,1-1-168,1-1-118,1-1-116,,1-1-169,,,,,
1-1-116,1,Shared Office,,1-1-114,,1-1-112,1-1-169,1ST2,,,,,,,,,,
1-1-118,1,Shared Office,,Outside,1-1-114,,1-1-100,1-1-112,1-1-120,,,,,,,,,
1-1-120,1,Private Office,,Outside,1-1-114,,1-1-118,1-1-121,,,,,,,,,,
1-1-121,1,Private Office,,Outside,1-1-114,,1-1-120,1-1-122,,,,,,,,,,
1-1-122,1,Private Office,,Outside,1-1-114,,1-1-121,1-1-123,1-1-178,,,,,,,,,
1-1-123,1,Private Office,,Outside,1-1-178,,1-1-122,1-1-124,,,,,,,,,,
1-1-124,1,Private Office,,Outside,1-1-184,,1-1-123,1-1-125,,,,,,,,,,
1-1-125,1,Private Office,,Outside,1-1-184,,1-1-124,1-1-126,,,,,,,,,,
1-1-126,1,Private Office,,Outside,1-1-127,,1-1-125,1-1-128,,,,,,,,,,
1-1-127,1,Corridor,,1-1-126,1-1-128,1-1-130,1-1-131,1ST3,1-1-141,1-1-143,1-1-150,1-1-144,1-1-142,1-1-140,1-1-136,1-1-132,1-1-184,
1-1-128,1,Meeting Room,,Outside,1-1-127,,1-1-126,1-1-130,,,,,,,,,,
1-1-130,1,Private Office,,Outside,1-1-127,,1-1-128,1-1-131,,,,,,,,,,
1-1-131,1,Private Office,,Outside,1-1-127,,1-1-130,1ST3,,,,,,,,,,
1-1-132,1,Shared Office,,1-1-127,,1-1-184,1-1-136,,,,,,,,,,,
1-1-136,1,Facility,,1-1-184,1-1-127,,1-1-186,1-1-132,1-1-140,,,,,,,,,
1-1-140,1,Open Area,,1-1-127,,1-1-186,1-1-136,1-1-142,,,,,,,,,,
1-1-141,1,Private Office,,Outside,1-1-127,,1ST3,1-1-143,,,,,,,,,,
1-1-142,1,Meeting Room,,1-1-127,,1-1-186,1-1-140,1-1-144,,,,,,,,,,
1-1-143,1,Private Office,,Outside,1-1-127,,1-1-141,1-1-150,,,,,,,,,,
1-1-144,1,Shared Office,,1-1-127,,1-1-186,1-1-142,1-1-150,,,,,,,,,,
1-1-150,1,Open Area,,Outside,1-1-152,1-1-127,,1-1-144,1-1-143,1-1-154,,,,,,,,
1-1-152,1,Corridor,,1-1-154,1-1-150,1-1-155,1-1-164,1-1-158,1-1-186,,1-1-188,,,,,,,
1-1-154,1,Private Office,,Outside,1-1-152,,1-1-155,1-1-150,,,,,,,,,,
1-1-155,1,Private Office,,Outside,1-1-152,,1-1-156,1-1-154,,,,,,,,,,
1-1-156,1,Shared Office,,Outside,1-1-158,,1-1-160,1-1-155,,,,,,,,,,
